   ID   PROVIDER            MODULE                          FUNCTION NAME
88653        fbt               ufs                        trans_wait entry
88654        fbt               ufs                        trans_wait return
88655        fbt               ufs                        top_cancel entry
88656        fbt               ufs                        top_cancel return
88657        fbt               ufs                        ufs_delete entry
88658        fbt               ufs                        ufs_delete return
88659        fbt               ufs                       ufs__fiolfs entry
88660        fbt               ufs                       ufs__fiolfs return
88661        fbt               ufs                    log_roll_write entry
88662        fbt               ufs                    log_roll_write return
88663        fbt               ufs                     ufs_rdwr_data entry
88664        fbt               ufs                     ufs_rdwr_data return
88665        fbt               ufs                        ufs_fioffs entry
88666        fbt               ufs                        ufs_fioffs return
88667        fbt               ufs                        ufs_fiolfs entry
88668        fbt               ufs                        ufs_fiolfs return
88669        fbt               ufs                       lufs_enable entry
88670        fbt               ufs                       lufs_enable return
88671        fbt               ufs                        ufs_freesp entry
88672        fbt               ufs                        ufs_freesp return
88673        fbt               ufs                        ufs_freeze entry
88674        fbt               ufs                        ufs_freeze return
88675        fbt               ufs                        ufs_ialloc entry
88676        fbt               ufs                        ufs_ialloc return
88677        fbt               ufs                   top_begin_async entry
88678        fbt               ufs                   top_begin_async return
88679        fbt               ufs                        ufs_iupdat entry
88680        fbt               ufs                        ufs_iupdat return
88681        fbt               ufs                        ufs_itrunc entry
88682        fbt               ufs                        ufs_itrunc return
88683        fbt               ufs                       free_cirbuf entry
88684        fbt               ufs                       free_cirbuf return
88685        fbt               ufs                ufs_trans_sbupdate entry
88686        fbt               ufs                ufs_trans_sbupdate return
88687        fbt               ufs                    ufs_xattrmkdir entry
